supplier_id,supplier_name,country_code,region,category,contract_value_usd,lead_time_days,quality_score,on_time_delivery_pct,risk_rating,last_audit_date,is_active
SUP-655E0B54,Alpha_Inc,US,AMER,Electronics,1162188.09,14,92.63,80.11,LOW,2022-04-11,True
SUP-61D1D00D,Alpha_Inc,US,AMER,MRO,2350648.11,13,100.0,68.82,LOW,2022-04-13,True
SUP-954B0FDA,Alpha_Inc,US,AMER,Office Supplies,2064103.71,11,96.72,70.15,LOW,2022-04-15,True
SUP-539A0214,Alpha_Inc,US,AMER,Packaging,1794688.18,15,100.0,78.34,MEDIUM,2022-04-17,True
SUP-2DA5C280,Alpha_Inc,US,AMER,Raw Materials,1053997.32,13,92.22,79.91,MEDIUM,2022-04-19,True
SUP-00AE7F17,Beta_Supplies,US,AMER,Electronics,2537537.92,8,90.02,46.43,MEDIUM,2022-04-21,True
SUP-B486E724,Beta_Supplies,US,AMER,MRO,1656149.9,15,85.96,68.95,MEDIUM,2022-04-23,True
SUP-8D6E0872,Beta_Supplies,US,AMER,Office Supplies,2432801.9,10,98.83,74.0,MEDIUM,2022-04-25,True
SUP-8C5154C1,Beta_Supplies,US,AMER,Packaging,1431435.29,16,99.0,63.43,HIGH,2022-04-27,True
SUP-41C43C0A,Beta_Supplies,US,AMER,Raw Materials,1867667.87,10,88.21,71.0,MEDIUM,2022-04-29,True
SUP-C5F5E3ED,Delta_Logistics,US,AMER,Electronics,2050277.25,8,93.41,73.7,HIGH,2022-05-01,True
SUP-CD21B99A,Delta_Logistics,US,AMER,MRO,1596803.64,11,94.18,77.37,HIGH,2022-05-03,True
SUP-2BCD9862,Delta_Logistics,US,AMER,Office Supplies,1462087.12,13,87.11,65.2,HIGH,2022-05-05,True
SUP-2FE7CD50,Delta_Logistics,US,AMER,Packaging,1700716.23,11,91.38,63.46,HIGH,2022-05-07,True
SUP-0E72DF98,Delta_Logistics,US,AMER,Raw Materials,1595196.83,9,84.72,77.92,HIGH,2022-05-09,True
SUP-B8396FA3,Epsilon_Group,US,AMER,Electronics,2482907.0,10,90.37,72.52,LOW,2022-05-11,True
SUP-79DDEB73,Epsilon_Group,US,AMER,MRO,3278031.48,14,100.0,76.0,LOW,2022-05-13,True
SUP-97041564,Epsilon_Group,US,AMER,Office Supplies,2622973.69,14,100.0,84.34,LOW,2022-05-15,True
SUP-8A891A80,Epsilon_Group,US,AMER,Packaging,1741918.78,15,99.43,55.93,LOW,2022-05-17,True
SUP-CE0F1C31,Epsilon_Group,US,AMER,Raw Materials,937397.37,8,95.64,76.55,LOW,2022-05-19,True
SUP-2642539F,Gamma_Co,US,AMER,Electronics,1685065.54,15,93.74,79.01,LOW,2022-05-21,True
SUP-0D44765B,Gamma_Co,US,AMER,MRO,2131113.32,14,99.17,71.37,MEDIUM,2022-05-23,True
SUP-428BE4CE,Gamma_Co,US,AMER,Office Supplies,1702730.42,11,100.0,61.44,MEDIUM,2022-05-25,True
SUP-44C57DBC,Gamma_Co,US,AMER,Packaging,2277223.14,13,100.0,72.35,MEDIUM,2022-05-27,True
SUP-9DB8D60A,Gamma_Co,US,AMER,Raw Materials,2312609.21,7,99.94,65.0,MEDIUM,2022-05-29,True
